submission_date;state;tot_cases;conf_cases;prob_cases;new_case;pnew_case;tot_death;conf_death;prob_death;new_death;pnew_death;created_at;consent_cases;consent_deaths
01/29/2020;IA;0;;;0;;0;;;0;;03/26/2020 04:22:39 PM;Not agree;Not agree
10/02/2020;NM;30,000;;;339;0;885;;;1;0;10/04/2020 12:00:00 AM;N/A;Not agree
09/10/2020;NY;204,928;;;421;0;8,983;;;7;0;09/11/2020 01:51:03 PM;Not agree;Not agree
06/22/2021;OH;1,109,374;927,601;181,773;349;196;20,213;20,213;0;47;0;06/23/2021 03:24:06 PM;Agree;Agree
12/03/2020;SD;83,348;;;1,145;322;1,033;871;162;38;14;12/04/2020 03:00:59 PM;N/A;Agree
03/16/2020;RMI;0;;;0;;0;;;0;;03/26/2020 04:22:39 PM;Agree;Agree
05/27/2020;PA;70,042;68,104;1,938;625;36;5,373;;;108;71;05/28/2020 03:12:25 PM;Agree;Not agree
02/02/2020;IA;0;;;0;;0;;;0;;03/26/2020 04:22:39 PM;Not agree;Not agree
03/27/2021;PA;1,009,834;860,421;149,413;4,387;931;24,986;;;33;17;03/28/2021 01:52:27 PM;Agree;Not agree
04/19/2021;SD;121,189;;;66;30;1,953;1,589;364;0;0;04/20/2021 02:59:01 PM;N/A;Agree
02/01/2020;IA;0;;;0;;0;;;0;;03/26/2020 04:22:39 PM;Not agree;Not agree
01/11/2021;NM;157,087;;;930;0;3,309;;;20;3;01/13/2021 12:00:00 AM;N/A;Not agree
12/05/2020;TN;435,114;396,248;38,866;6,416;1,029;5,519;4,916;603;83;23;12/05/2020 12:00:00 AM;Agree;Agree
04/04/2020;OH;3,739;;;427;;102;;;11;;04/03/2020 04:22:39 PM;Agree;Agree
06/18/2020;NM;10,153;;;88;0;498;;;7;0;06/20/2020 12:00:00 AM;N/A;Not agree
05/30/2021;RMI;4;4;0;0;0;0;0;0;0;0;05/31/2021 01:43:43 PM;Agree;Agree
04/12/2021;RMI;4;4;0;0;0;0;0;0;0;0;04/13/2021 02:00:37 PM;Agree;Agree
03/26/2020;IA;179;;;34;;1;;;0;;03/26/2020 04:22:39 PM;Not agree;Not agree
09/14/2020;PA;145,063;140,842;4,221;289;12;7,869;;;0;0;09/15/2020 02:03:59 PM;Agree;Not agree
09/23/2020;OH;146,753;138,712;8,041;903;79;4,687;4,387;300;52;3;09/24/2020 01:54:02 PM;Agree;Agree
11/30/2020;OH;421,063;398,371;22,692;6,631;389;6,429;6,009;420;30;0;12/01/2020 03:26:07 PM;Agree;Agree
07/18/2020;NY;185,184;;;367;0;8,779;;;9;0;07/19/2020 03:05:47 PM;Not agree;Not agree
